date,rp_return
2007-03-30,0.0
2007-04-30,0.03751156260899459
2007-05-31,0.03154670241783714
2007-06-29,-0.02488688749763508
2007-07-31,-0.024650951143410708
2007-08-31,-0.025773394732495018
2007-09-28,-0.004001929517313645
2007-10-31,0.004718571501746821
2007-11-30,-0.020317996862634677
2007-12-31,-0.02715896689756905
2008-01-31,-0.1242343176219613
2008-02-29,-0.05076254952035473
2008-03-31,-0.03763354498312627
2008-04-30,0.06914512315244514
2008-05-30,0.016389357696239133
2008-06-30,-0.09545021230297729
2008-07-31,0.03113290615488953
2008-08-29,0.054752525551969015
2008-09-30,-0.037618434121798494
2008-10-31,-0.10783149065041245
2008-11-28,-0.08002233695285746
2008-12-31,0.016493913691980274
2009-01-30,-0.03688462990873975
2009-02-27,-0.07796885763366165
2009-03-31,0.011786077722186764
2009-04-30,0.06599565818003189
2009-05-29,0.004982329910331748
2009-06-30,-0.006474757497280659
2009-07-31,0.06193562474873763
2009-08-31,0.03342553842877698
2009-09-30,0.015257228285871992
2009-10-30,-0.03780832277721653
2009-11-30,0.023670319132302612
2009-12-31,0.05438056301357442
2010-01-29,-0.0009018796935089859
2010-02-26,0.015851344457321347
2010-03-31,0.06789503959900259
2010-04-30,0.03763196014155893
2010-05-28,-0.052924167926130555
2010-06-30,-0.06986449537399514
2010-07-30,0.024714494247174416
2010-08-31,-0.04124041382750062
2010-09-30,0.011061162218771726
2010-10-29,0.028251549337106455
2010-11-30,0.003252418209301458
2010-12-31,0.034939652162824505
2011-01-31,-0.005161644840076882
2011-02-28,0.009611309255319818
2011-03-31,-0.04596461346190865
2011-04-29,0.014510225331464276
2011-05-31,-0.01743939563092538
2011-06-30,-0.01942008098752701
2011-07-29,-0.05172371586375703
2011-08-31,-0.03349590712918441
2011-09-30,-0.041173890647711923
2011-10-31,0.06890918012187544
2011-11-30,-0.009052757135012935
2011-12-30,-0.000976968634848903
2012-01-31,0.02363352543460985
2012-02-29,0.05772232072085941
2012-03-30,0.010356172625634475
2012-04-30,-0.0005292678821623292
2012-05-31,-0.047077696967108215
2012-06-29,0.03756905550588954
2012-07-31,0.013060368138956226
2012-08-31,-0.007133748910814685
2012-09-28,0.014565782651180111
2012-10-31,0.023527728472925138
2012-11-30,0.0158573968769718
2012-12-31,0.030567391917386787
2013-01-31,0.06738494582483642
2013-02-28,0.047053187836932645
2013-03-28,0.009503432207009246
2013-04-30,0.05002068885958416
2013-05-31,0.0012075372325546984
2013-06-28,-0.016197874412555414
2013-07-31,0.033553247017885014
2013-08-30,-0.018514025638834846
2013-09-30,0.020461344886564387
2013-10-31,0.04258845834617039
2013-11-29,0.007029357662579271
2013-12-31,0.016846202401256075
2014-01-31,-0.03323541196138062
2014-02-28,0.030602416387426664
2014-03-31,-0.01018839139285335
2014-04-30,0.009650592064245615
2014-05-30,0.025346122301270146
2014-06-30,-0.008772939893418649
2014-07-31,0.00618193464231438
2014-08-29,0.04361361536496929
2014-09-30,0.007743681287740833
2014-10-31,0.01919840581952772
2014-11-28,0.04773981515294578
2014-12-31,0.01866571194416971
2015-01-30,0.03720555874879253
2015-02-27,0.0927356464551216
2015-03-31,0.006178294534282031
2015-04-30,-0.02094848335946013
2015-05-29,0.015219718629886053
2015-06-30,-0.024969076187396834
2015-07-31,0.04106857784606553
2015-08-31,-0.0637458869046115
2015-09-30,-0.04075063973632956
2015-10-30,0.09196774636322165
2015-11-30,0.0027578706468709387
2015-12-31,-0.0011463602246187263
2016-01-29,-0.0652346265269105
2016-02-29,-0.039295477641986765
2016-03-31,0.00830534067941037
2016-04-29,0.020329795245803806
2016-05-31,0.024200729770791282
2016-06-30,-0.010609086177015352
2016-07-29,0.0365805439923067
2016-08-31,0.009052186447659696
2016-09-30,0.02703222405526539
2016-10-31,0.01192361430922993
2016-11-30,0.027747763592362154
2016-12-30,0.04342304202541455
2017-01-31,-0.010010655435759512
2017-02-28,0.02656515165882832
2017-03-31,0.022156219452255245
2017-04-28,0.00593318776553242
2017-05-31,0.010193407242564661
2017-06-30,-0.02603344190290481
2017-07-31,-0.00642611198787796
2017-08-31,-0.006664368031471146
2017-09-29,0.04261505873741735
2017-10-31,0.03457891045496892
2017-11-30,-0.009212731881775243
2017-12-29,-0.014851787003015668
2018-01-31,-0.004069744786365978
2018-02-28,-0.027065213245796336
2018-03-29,-0.011253982366028802
2018-04-30,0.07571090319227176
2018-05-31,0.007310774761302857
2018-06-29,0.007444891206633407
2018-07-31,0.03360927099293599
2018-08-31,-0.01455958129726287
2018-09-28,0.020179786016884277
2018-10-31,-0.05357883782714156
2018-11-30,-0.007869041308929667
2018-12-31,-0.046646754228891196
2019-01-31,0.058089871863958024
2019-02-28,0.03815284142673994
2019-03-29,0.017028450268965885
2019-04-30,0.0452334602261963
2019-05-31,-0.034655542928364216
2019-06-28,0.04365365989811911
2019-07-31,0.02013724126295391
2019-08-30,-0.01376664550638297
2019-09-30,0.025470167973808515
2019-10-31,0.011715554679961472
2019-11-29,0.019156854119552993
2019-12-31,0.011224334192890153
2020-01-31,0.010656553292262314
2020-02-28,-0.06970715489152858
2020-03-31,-0.1321767054658916
2020-04-30,0.05915823049802002
2020-05-29,0.02211733589768863
2020-06-30,0.006181865009075997
2020-07-31,-0.039002371741333676
2020-08-31,0.04325967789582446
2020-09-30,-0.00751525407579783
2020-10-30,-0.0448089281338925
2020-11-30,0.10013141842095374
2020-12-31,0.020490997759440712
2021-01-29,-0.0018643318665691232
2021-02-26,0.03852005417598883
2021-03-31,0.05290025247146072
2021-04-30,0.00991039885101358
2021-05-28,0.03245429016653379
2021-06-30,0.03461090152093915
2021-07-30,0.010268931126592697
2021-08-31,0.024896493528303774
2021-09-30,-0.013558040548660019
2021-10-29,0.031452407474552684
2021-11-30,-0.0078051221137169415
2021-12-31,0.03867693477351728
2022-01-31,-0.041207712322487704
2022-02-28,-0.004394980706043208
2022-03-31,0.04508864623676373
2022-04-29,0.02228914383978287
2022-05-31,-0.0035766153095126013
2022-06-30,-0.046318825870960395
2022-07-29,0.054536836580538685
2022-08-31,0.014971383721263207
2022-09-30,-0.04696175368694486
2022-10-31,0.022989091068228388
2022-11-30,0.027198131176903787
2022-12-30,-0.04967216787286301
2023-01-31,0.0764625119790824
2023-02-28,0.009460366272397994
2023-03-31,-0.01044602417704359
2023-04-28,0.034300768662130554
2023-05-31,-0.018572176092679006
2023-06-30,0.011226347411938304
2023-07-31,0.03654782701775014
2023-08-31,0.003700217691537126
2023-09-29,-0.001393360836449844
2023-10-31,-0.058456780451354294
2023-11-30,0.03190270633706707
2023-12-29,0.036810721745389414
2024-01-31,0.03339546063278639
2024-02-29,0.024686788069376867
2024-03-28,0.054213847649027376
2024-04-30,-0.015418602055701109
2024-05-31,0.02529247612486635
2024-06-28,-0.015866878075269493
2024-07-31,-0.009976185678491005
2024-08-30,-0.008166650084009117
2024-09-30,0.02479458260027418
2024-10-31,0.0067559917090398445
2024-11-29,0.02260998895563114
