date,rf
2002-01-31,0.0014079106687149168
2002-02-28,0.0014438781990535835
2002-03-28,0.0014248363799142503
2002-04-30,0.0014606291474173333
2002-05-31,0.0014079106687149168
2002-06-28,0.0013888379127945
2002-07-31,0.001416406479270333
2002-08-30,0.0013803757517530833
2002-09-30,0.0013083661510795833
2002-10-31,0.00118367611059
2002-11-29,0.0010144638603899166
2002-12-31,0.0009467381762035001
2003-01-31,0.0009552551958717499
2003-02-28,0.00099543207658025
2003-03-31,0.0009509815394252501
2003-04-30,0.0009108785554787501
2003-05-30,0.0009341101938983333
2003-06-30,0.0006613628909158667
2003-07-31,0.0007332664388860418
2003-08-29,0.0008093648543406666
2003-09-30,0.000709970740982075
2003-10-31,0.0007628540949724334
2003-11-28,0.0007501790155767583
2003-12-31,0.0006888802939033332
2004-01-30,0.0006888646882905583
2004-02-27,0.000777652710661175
2004-03-31,0.0007692157870303417
2004-04-30,0.0006740675412496166
2004-05-28,0.0007565119060436417
2004-06-30,0.0009404827313135001
2004-07-30,0.0010652172633845002
2004-08-31,0.0012004789420591668
2004-09-30,0.0012154039017918334
2004-10-29,0.0014565380828704165
2004-11-30,0.0016933403574799165
2004-12-31,0.0015898377666132499
2005-01-31,0.00180130523023725
2005-02-28,0.0020806767845999168
2005-03-31,0.0021656591247663334
2005-04-29,0.002258751885871833
2005-05-31,0.0022922884250915834
2005-06-30,0.0024875846469055
2005-07-29,0.0026908483384770836
2005-08-31,0.0027843281057316665
2005-09-30,0.002654832328395083
2005-10-31,0.0030802929924755836
2005-11-30,0.0033088016057356666
2005-12-30,0.003288502004898
2006-01-31,0.003605709483371417
2006-02-28,0.003686264847309084
2006-03-31,0.00382715615810725
2006-04-28,0.0038441269128013334
2006-05-31,0.00391251711206825
2006-06-30,0.0039035270896056666
2006-07-31,0.004193694046823917
2006-08-31,0.004137204905360833
2006-09-29,0.00387382650819675
2006-10-31,0.004292670551337334
2006-11-30,0.004149939087849417
2006-12-29,0.003973539504595
2007-01-31,0.004167204193588583
2007-02-28,0.0042860844432667505
2007-03-30,0.004209076028679584
2007-04-30,0.003962155783818583
2007-05-31,0.003912265109947417
2007-06-29,0.0037762458255555837
2007-07-31,0.004254573966568
2007-08-31,0.00346024232193775
2007-09-28,0.0028688310860923334
2007-10-31,0.003318545644357917
2007-11-30,0.0026823738527157496
2007-12-31,0.0023813016900156667
2008-01-31,0.00138675399327275
2008-02-29,0.0017252736589415832
2008-03-31,0.0010313288660755834
2008-04-30,0.0010483352874734167
2008-05-30,0.00162369481751025
2008-06-30,0.0014120108889340835
2008-07-31,0.00131905609280075
2008-08-29,0.00138672236503
2008-09-30,0.0008029799252121084
2008-10-31,0.00021125179228100835
2008-11-28,2.5347591876290834e-05
2008-12-31,2.5347602438088334e-05
2009-01-30,0.00014787101652956666
2009-02-27,0.00014364579113271668
2009-03-31,0.000126744032778275
2009-04-30,2.9572262401272498e-05
2009-05-29,6.759514621930583e-05
2009-06-30,0.00012040645483046668
2009-07-31,0.00010773218094965834
2009-08-31,7.815704793933e-05
2009-09-30,3.5909327893473344e-05
2009-10-30,8.449113972833334e-06
2009-11-30,6.125769923293001e-05
2009-12-31,3.1684605365282496e-05
2010-01-29,1.26737008835075e-05
2010-02-26,6.125788429285583e-05
2010-03-31,0.00011195764883948333
2010-04-30,0.00011829485781378332
2010-05-28,0.00011406977210254167
2010-06-30,0.00013519600115363334
2010-07-30,0.00011829485781378332
2010-08-31,0.000126744032778275
2010-09-30,0.00011195744278407499
2010-10-29,0.00010561966054240833
2010-11-30,0.00014153186871548334
2010-12-31,6.759514621930583e-05
2011-01-31,0.00012463175774224167
2011-02-28,6.548250912240668e-05
2011-03-31,4.858353391571e-05
2011-04-29,1.26737008835075e-05
2011-05-31,3.590920071062167e-05
2011-06-30,6.336828658632833e-06
2011-07-29,7.393245303801418e-05
2011-08-31,0.0
2011-09-30,1.26737008835075e-05
2011-10-31,4.2245461315851665e-06
2011-11-30,0.0
2011-12-30,0.0
2012-01-31,3.168452285096251e-05
2012-02-29,4.435880331763833e-05
2012-03-30,2.957224802543833e-05
2012-04-30,6.337010190380917e-05
2012-05-31,2.3235264315419165e-05
2012-06-29,2.957224802543833e-05
2012-07-31,5.069571184789917e-05
2012-08-31,6.548272058906417e-05
2012-09-28,3.3796934686825e-05
2012-10-31,7.81575500276425e-05
2012-11-30,0.00010139412767579165
2012-12-31,2.112291255073917e-05
2013-01-31,5.0695923089909166e-05
2013-02-28,4.0134028564707503e-05
2013-03-28,3.3796953463506674e-05
2013-04-30,1.2673690321757501e-05
2013-05-31,1.26737035238375e-05
2013-06-28,8.449113972833334e-06
2013-07-31,8.449116319694167e-06
2013-08-30,8.449113972833334e-06
2013-09-30,1.6898293661565835e-05
2013-10-31,2.9572262401272498e-05
2013-11-29,2.112293455406917e-05
2013-12-31,1.2673690321757501e-05
2014-01-31,4.224636786189917e-05
2014-02-28,2.534758131479167e-05
2014-03-31,1.4785991038194998e-05
2014-04-30,8.449116319694167e-06
2014-05-30,1.9010618655295835e-05
2014-06-30,1.2673692962354166e-05
2014-07-31,4.224547305044166e-06
2014-08-29,4.2245470116049165e-06
2014-09-30,1.2673690321757501e-05
2014-10-31,2.1122710121504165e-06
2014-11-28,4.224547305044166e-06
2014-12-31,8.449116319694167e-06
2015-01-30,-1.6897988556451668e-05
2015-02-27,-4.224527062398917e-06
2015-03-31,2.9572190522339168e-05
2015-04-30,-4.224526769145084e-06
2015-05-29,2.1122710121504165e-06
2015-06-30,-3.802012046043917e-05
2015-07-31,2.534758131479167e-05
2015-08-31,-6.336785093000083e-06
2015-09-30,-2.3234634228829165e-05
2015-10-30,2.112293455406917e-05
2015-11-30,0.00010139412767579165
2015-12-31,5.7033121419725844e-05
2016-01-29,0.00019012436809643336
2016-02-29,0.00018589723878525
2016-03-31,6.33703659617325e-05
2016-04-29,0.000109844706345425
2016-05-31,0.0001901219911604417
2016-06-30,0.0001753359734304667
2016-07-29,0.0001520962618818917
2016-08-31,0.000198576574402325
2016-09-30,0.00015632152719031667
2016-10-31,0.00013519449879805
2016-11-30,0.00025351025066138334
2016-12-30,0.000342252960052275
2017-01-31,0.00039295808499155004
2017-02-28,0.0003574588391557667
2017-03-31,0.0005747216062905583
2017-04-28,0.0005620399405601
2017-05-31,0.00062546293131855
2017-06-30,0.0007142317955080333
2017-07-31,0.0008114465552501583
2017-08-31,0.0009256664231051666
2017-09-29,0.0007987940148765
2017-10-31,0.0008368035622846666
2017-11-30,0.0009192950928711667
2017-12-29,0.0010313813414599999
2018-01-31,0.00112658987768125
2018-02-28,0.0009928958374130835
2018-03-29,0.00135713551291475
2018-04-30,0.0013739360395475001
2018-05-31,0.0014650362652285833
2018-06-29,0.0014819269675485833
2018-07-31,0.0015960182626580002
2018-08-31,0.0016363915419505002
2018-09-28,0.0017379718251319168
2018-10-31,0.0018142728929399165
2018-11-30,0.0018818387179451667
2018-12-31,0.0018817222214288333
2019-01-31,0.00196227247527075
2019-02-28,0.00202154394609725
2019-03-29,0.0020172432007860832
2019-04-30,0.0020086434690135004
2019-05-31,0.0019579758793995
2019-06-28,0.001693434687727
2019-07-31,0.0018776635503075833
2019-08-30,0.0017378724627450835
2019-09-30,0.0015008579504104998
2019-10-31,0.0012640028773355
2019-11-29,0.0013591599330884166
2019-12-31,0.0011793314526302502
2020-01-31,0.00129993362933975
2020-02-28,0.0012047562290165
2020-03-31,3.37963526234375e-06
2020-04-30,6.125782260608333e-05
2020-05-29,0.00010561929377322499
2020-06-30,9.716900794120834e-05
2020-07-31,7.604470849571668e-05
2020-08-31,7.604461343350251e-05
2020-09-30,7.18200124438275e-05
2020-10-30,6.337016791798583e-05
2020-11-30,5.9145301110025e-05
2020-12-31,4.2246338522921665e-05
2021-01-29,4.43586739325525e-05
2021-02-26,2.534756019133e-05
2021-03-31,1.26737008835075e-05
2021-04-30,4.224546424870749e-06
2021-05-28,4.224546424870749e-06
2021-06-30,2.957224802543833e-05
2021-07-30,4.647104337551417e-05
2021-08-31,3.379685958032667e-05
2021-09-30,3.802159377018e-05
2021-10-29,4.2246309184121666e-05
2021-11-30,6.759484577918501e-05
2021-12-31,4.2246309184121666e-05
2022-01-31,2.957220489815417e-05
2022-02-28,5.9145301110025e-05
2022-03-31,3.379691591032333e-05
2022-04-29,0.0002915377602970917
2022-05-31,0.0005746998840538417
2022-06-30,0.0009340958457161667
2022-07-29,0.0018055911626338335
2022-08-31,0.0019623358190475836
2022-09-30,0.00227128787184275
2022-10-31,0.002881135654291083
2022-11-30,0.0033203032800051668
2022-12-30,0.0033262994360549166
2023-01-31,0.003737145217115583
2023-02-28,0.003682024931744917
2023-03-31,0.0038881788842497506
2023-04-28,0.0034746881452196667
2023-05-31,0.004128715554031166
2023-06-30,0.004301849576203167
2023-07-31,0.004441577172609583
2023-08-31,0.004463451834298833
2023-09-29,0.004471612723112499
2023-10-31,0.004475197655959584
2023-11-30,0.004454961785125084
2023-12-29,0.004484346181478084
2024-01-31,0.004425569685233417
2024-02-29,0.004488922451048167
2024-03-28,0.0044719419616765
2024-04-30,0.004466711241662584
2024-05-31,0.0044652460578970005
2024-06-28,0.004467368274897333
2024-07-31,0.0044637798872725004
2024-08-30,0.004380361263018917
2024-09-30,0.0038262963416366663
2024-10-31,0.0037519827902054996
2024-11-29,0.003474952986778501
2024-12-31,0.0033372916186482503
